Dates,Total Rating
2016_07_27 02_10,117700
2016_07_27 02_20,117700
2016_07_27 02_30,117700
2016_07_27 02_40,117700
2016_07_27 02_50,117700
2016_07_27 03_00,117700
2016_07_27 03_10,117700
2016_07_27 03_20,117913
2016_07_27 03_30,117913
2016_07_27 03_40,117913
2016_07_27 03_50,117913
2016_07_27 04_00,117913
2016_07_27 04_10,117913
2016_07_27 04_20,117913
2016_07_27 04_30,117913
2016_07_27 04_40,117913
2016_07_27 04_50,117913
2016_07_27 05_00,117913
2016_07_27 05_10,117913
2016_07_27 05_20,117913
2016_07_27 05_30,117913
2016_07_27 05_40,117913
2016_07_27 05_50,117913
2016_07_27 06_00,117913
2016_07_27 06_10,117913
2016_07_27 06_20,117913
2016_07_27 06_30,117913
2016_07_27 06_40,117913
2016_07_27 06_50,117913
2016_07_27 07_00,117913
2016_07_27 07_10,117913
2016_07_27 07_20,118015
2016_07_27 07_30,117913
2016_07_27 07_40,118015
2016_07_27 07_50,118015
2016_07_27 08_00,118015
2016_07_27 08_10,118015
2016_07_27 08_20,118015
2016_07_27 08_30,118015
2016_07_27 08_40,118015
2016_07_27 08_50,118015
2016_07_27 09_00,118015
2016_07_27 09_10,118015
2016_07_27 09_20,118015
2016_07_27 09_30,118015
2016_07_27 09_40,118015
2016_07_27 09_50,118015
2016_07_27 10_00,118015
2016_07_27 10_10,118015
2016_07_27 10_20,118015
2016_07_27 10_30,118015
2016_07_27 10_40,118015
2016_07_27 10_50,118015
2016_07_27 11_00,118015
2016_07_27 11_10,118015
2016_07_27 11_20,118141
2016_07_27 11_30,118141
2016_07_27 11_40,118141
2016_07_27 11_50,118141
2016_07_27 12_00,118141
2016_07_27 12_10,118141
2016_07_27 12_20,118141
2016_07_27 12_30,118141
2016_07_27 12_40,118141
2016_07_27 12_50,118141
2016_07_27 13_00,118141
2016_07_27 13_10,118141
2016_07_27 13_20,118141
2016_07_27 13_30,118141
2016_07_27 13_40,118141
2016_07_27 13_50,118141
2016_07_27 14_00,118141
2016_07_27 14_10,118141
2016_07_27 14_20,118141
2016_07_27 14_30,118141
2016_07_27 14_40,118141
2016_07_27 14_50,118141
2016_07_27 15_00,118141
2016_07_27 15_10,118141
2016_07_27 15_20,118437
2016_07_27 15_30,118437
2016_07_27 15_40,118437
2016_07_27 15_50,118437
2016_07_27 16_00,118437
