Dates,Total Rating
2016_07_25 19_40,1620363
2016_07_25 19_50,1620363
2016_07_25 20_00,1620363
2016_07_25 20_10,1620363
2016_07_25 20_20,1620363
2016_07_25 20_30,1620363
2016_07_25 20_40,1628427
2016_07_25 20_50,1628427
2016_07_25 21_00,1628427
2016_07_25 21_10,1628427
2016_07_25 21_20,1628427
2016_07_25 21_30,1628427
2016_07_25 21_40,1628427
2016_07_25 21_50,1628427
2016_07_25 22_00,1628427
2016_07_25 22_10,1628427
2016_07_25 22_20,1628427
2016_07_25 22_30,1628427
2016_07_25 22_40,1628427
2016_07_25 22_50,1628427
2016_07_25 23_00,1628427
2016_07_25 23_10,1628427
2016_07_25 23_20,1628427
2016_07_25 23_30,1628427
2016_07_25 23_40,1628427
2016_07_25 23_50,1628427
2016_07_26 00_00,1628427
2016_07_26 00_10,1628427
2016_07_26 00_20,1628427
2016_07_26 00_30,1628427
2016_07_26 00_40,1628427
2016_07_26 00_50,1634118
2016_07_26 01_00,1634118
2016_07_26 01_10,1634118
2016_07_26 01_20,1634118
2016_07_26 01_30,1634118
2016_07_26 01_40,1634118
2016_07_26 01_50,1634118
2016_07_26 02_00,1634118
2016_07_26 02_10,1634118
2016_07_26 02_20,1634118
2016_07_26 02_30,1634118
2016_07_26 02_40,1634118
2016_07_26 02_50,1634118
2016_07_26 03_00,1634118
2016_07_26 03_10,1634118
2016_07_26 03_20,1634118
2016_07_26 03_30,1634118
2016_07_26 03_40,1634118
2016_07_26 03_50,1634118
2016_07_26 04_00,1634118
2016_07_26 04_10,1634118
2016_07_26 04_20,1634118
2016_07_26 04_30,1634118
2016_07_26 04_40,1634118
2016_07_26 04_50,1641541
2016_07_26 05_00,1641541
2016_07_26 05_10,1641541
2016_07_26 05_20,1641541
2016_07_26 05_30,1641541
2016_07_26 05_40,1641541
2016_07_26 05_50,1641541
2016_07_26 06_00,1641541
2016_07_26 06_10,1641541
2016_07_26 06_20,1641541
2016_07_26 06_30,1641541
2016_07_26 06_40,1641541
2016_07_26 06_50,1641541
2016_07_26 07_00,1641541
2016_07_26 07_10,1641541
2016_07_26 07_20,1641541
2016_07_26 07_30,1641541
2016_07_26 07_40,1641541
2016_07_26 07_50,1641541
2016_07_26 08_00,1641541
2016_07_26 08_10,1641541
2016_07_26 08_20,1641541
2016_07_26 08_30,1641541
2016_07_26 08_40,1641541
2016_07_26 08_50,1651887
2016_07_26 09_00,1651887
2016_07_26 09_10,1651887
2016_07_26 09_20,1651887
2016_07_26 09_30,1651887
2016_07_26 09_40,1651887
2016_07_26 09_50,1651887
2016_07_26 10_00,1651887
